"Name";"n_Bewertungen";"Preiskat";"Adresse";"Stadtteil";"Kat1";"Kat2";"Kat3";"Kat4";"lat";"long"
"Duy Thai Restaurant";40;"€";"Kollwitzstr. 89";"Prenzlauer Berg";"Thailändisch";"Asiatisch";NA;NA;52.5386225;13.4200916
"Café Transit";23;"€€";"Schlesische Str. 35a";"Kreuzberg";"Portugiesisch";"Spanisch";"Asiatisch";NA;52.49961;13.44524
"Comy";1;NA;"Bessemerstr. 57";"Tempelhof";"Asiatisch";"Sushi";NA;NA;52.4622771;13.3675468
"H2";5;NA;"Möckernstr. 48";"Kreuzberg";"Vegetarisch";"Asiatisch";NA;NA;52.4930738;13.3793401
"Bambusstäbchen";38;"€€";"Tempelhofer Damm 140";"Tempelhof";"Sushi";"Asiatisch";NA;NA;52.4667242;13.3851719
"Dong A";2;NA;"Englische Str. 6";"Charlottenburg";"Asiatisch";"Vietnamesisch";NA;NA;52.5156659;13.3323345
"Hanoi’s Corner";8;"€";"Leibnizstr. 56";"Charlottenburg";"Vietnamesisch";"Sushi";"Asiatisch";NA;52.5017588;13.3128321
"Xigon";10;"€";"Petersburger Platz 2";"Friedrichshain";"Sushi";"Vietnamesisch";"Asiatisch";NA;52.5215718;13.4494716
"sunshine";0;NA;"Falckensteinstr. 5";"Kreuzberg";"Asiatisch";NA;NA;NA;52.4995861;13.4430848
"Kuchi";188;"€€€";"Kantstr. 30";"Charlottenburg";"Sushi";"Asiatisch";NA;NA;52.50631;13.3182
"Drachen-Asia-Bistro";2;NA;"Berliner Allee 116";"Weißensee";"Asiatisch";NA;NA;NA;52.5502297;13.4604503
"Asia Wok";21;"€";"Niederbarnimstr. 7";"Friedrichshain";"Vietnamesisch";"Asiatisch";NA;NA;52.5141603;13.4585105
"King King";30;"€€";"Rosa-Luxemburg-Str. 17";"Mitte";"Asiatisch";"Sushi";NA;NA;52.525091;13.41013
"Asia Wok";3;NA;"Köpenicker Str. 106";"Marzahn";"Wok";"Asiatisch";NA;NA;52.510161;13.41772
"Sanhok";5;NA;"Hermannstr. 40";"Schillerkiez";"Asiatisch";"Vietnamesisch";NA;NA;52.4797053;13.4251293
"Passion Asian Kitchen";0;NA;"Oranienstr. 37";"Kreuzberg";"Asiatisch";NA;NA;NA;52.5018977;13.4176768
"Chung Asia Street Kitchen";38;"€";"Schlesische Str. 29";"Kreuzberg";"Asiatisch";NA;NA;NA;52.4986158;13.4469154
"Coco’s";12;"€€";"Weitlingstr. 26";"Lichtenberg";"Sushi";"Asiatisch";NA;NA;52.5086879;13.4972326
"Asia Le";1;NA;"Voigtstr. 42";"Friedrichshain";"Asiatisch";NA;NA;NA;52.515184;13.4676004
"Pagashi Luu";4;"€";"Markgrafenstr. 56";"Mitte";"Asiatisch";NA;NA;NA;52.5085125;13.3938621
"MOC";7;"€";"Lychener Str. 28";"Prenzlauer Berg";"Asiatisch";NA;NA;NA;52.5428843;13.4169916
"Sakura IV";50;"€";"Kurfürstenstr. 126";"Schöneberg";"Sushi";"Asiatisch";"Buffet";NA;52.50242;13.35109
"Buchaca";1;NA;"Winsstr. 53";"Prenzlauer Berg";"Asiatisch";NA;NA;NA;52.5347581;13.4258536
"Asia Gourmet";32;"€€";"Dircksenstr. 2";"Mitte";"Asiatisch";NA;NA;NA;52.5216144;13.411286
"Com A";49;"€€";"Oranienstr. 191";"Kreuzberg";"Sushi";"Asiatisch";NA;NA;52.50025;13.4223001
"Veggie Asia Street Food";1;NA;"Alt-Tegel 18";"Reinickendorf";"Vegetarisch";"Asiatisch";NA;NA;52.5890766;13.2798502
"Asia Cucina";1;"€";"Elsenstraße";"Treptow";"Sushi";"Asiatisch";NA;NA;52.4889505;13.4539972
"Anh Thi";10;"€";"Scherenbergstr. 27";"Prenzlauer Berg";"Vietnamesisch";"Asiatisch";NA;NA;52.5496677;13.4187382
"in Time";8;"€€";"Große Hamburger Str. 32";"Mitte";"Asiatisch";NA;NA;NA;52.5257127;13.3990251
"Asia Song Hong";4;NA;"Warschauer Str. 25";"Friedrichshain";"Vietnamesisch";"Sushi";"Asiatisch";NA;52.5106;13.45124
"Imaki Today";2;"€";"Helmholtzstr. 31";"Charlottenburg";"Vietnamesisch";"Asiatisch";NA;NA;52.5217723;13.3245721
"Dadu";18;"€€";"Alt Tegel 6";"Reinickendorf";"Sushi";"Asiatisch";NA;NA;52.5896413;13.2817894
"Hanoi Grün";4;NA;"Bundesallee 71";"Schöneberg";"Vietnamesisch";"Asiatisch";NA;NA;52.47491;13.32799
"Asia Thyna";1;NA;"Hermannstr. 169";"Neukölln";"Asiatisch";NA;NA;NA;52.4702161;13.4301335
"Sakura II";70;"€€";"Kaiserdamm 32";"Charlottenburg";"Asiatisch";"Sushi";"Buffet";NA;52.5100738;13.2784163
"Kikko Grill & Sushi";46;"€€";"Alt-Köpenick 36";"Köpenick";"Sushi";"Asiatisch";NA;NA;52.44417;13.57463
"Arisu Sushi";8;"€";"Ringbahn Str. 68";"Tempelhof";"Sushi";"Asiatisch";NA;NA;52.4687293;13.3867402
"Phuong Chi";1;"€";"Holsteinische Str. 40";"Wilmersdorf";"Vietnamesisch";"Asiatisch";NA;NA;52.4911205;13.3246807
"NEM Berlin";29;"€€";"Hohenstaufenstr. 69";"Schöneberg";"Vietnamesisch";"Asiatisch";NA;NA;52.4945989;13.3533195
"Asia-Imbiss Dao Nguyen";9;"€";"Kaiserin-Augusta-Allee 85";"Charlottenburg";"Asiatisch";NA;NA;NA;52.5255274;13.3078462
"Miss Hue";5;"€€";"Knaackstr. 24";"Prenzlauer Berg";"Vietnamesisch";"Asiatisch";NA;NA;52.53488;13.4185
"Kimchi Mama";0;NA;"Nestorstr. 55a";"Wilmersdorf";"Koreanisch";"Asiatisch";"BBQ & Barbecue";NA;52.49819;13.30039
"Asia GP";4;"€";"Ernststr. 59";"Reinickendorf";"Lieferservice";"Asiatisch";NA;NA;52.5837383;13.3007931
"Asia Imbiss - Asian Duc Anh";0;NA;"Frankfurter Allee 253";"Lichtenberg";"Asiatisch";NA;NA;NA;52.5121013;13.4984255
"Rosengarten";11;"€€";"Hohenzollerndamm 110a";"Wilmersdorf";"Asiatisch";NA;NA;NA;52.4773902;13.2824559
"Fam Dang";20;"€";"Huttenstr. 5";"Tiergarten";"Vietnamesisch";"Asiatisch";NA;NA;52.527731;13.3273745
"Reis & Nudeln";1;NA;"Skalitzer Str. 105";"Kreuzberg";"Asiatisch";NA;NA;NA;52.4994513;13.4273898
"Art Café Jadore";6;"€";"Chausseestr. 56";"Mitte";"Café";"Currywurst";"Asiatisch";NA;52.5364437;13.3765057
"Restaurant Shi Mai";48;"€€";"Karl-Liebknecht-Str. 5";"Mitte";"Vietnamesisch";"Asiatisch";"Sushi";NA;52.5201491;13.403742
"Tung 5 In 1";2;"€";"Wilhelminenhof Str.35";"Köpenick";"Asiatisch";NA;NA;NA;52.4614492;13.5191551
"Luong Tang Asia Snack";3;"€";"Beusselstr. 72";"Tiergarten";"Vietnamesisch";"Asiatisch";NA;NA;52.5282318;13.3283754
"Nu Eat Kitchen";8;"€€";"Rosenthaler Str. 71";"Mitte";"Asiatisch";NA;NA;NA;52.5290346;13.4020638
"Kokos";4;"€";"Jessnerstr. 16";"Friedrichshain";"Asiatisch";NA;NA;NA;52.5123747;13.4727898
"VIET HA - Goldener Karpfen";24;"€";"Lebuser Str. 13";"Friedrichshain";"Asiatisch";NA;NA;NA;52.5192497;13.4329805
"Lemongras";0;NA;"Gartenfelderstr. 109";"Spandau";"Asiatisch";NA;NA;NA;52.5424733;13.238674
"Dua Do Restaurant";12;"€";"Paul-Schneider-Str. 5";"Steglitz";"Asiatisch";NA;NA;NA;52.4359426;13.3468856
"Asia Imbiss Im Kaufland Tempelhof";0;NA;"Schöneberger Str. 7";"Tempelhof";"Asiatisch";NA;NA;NA;52.4680396;13.3770837
"Bao An";1;"€€";"Berliner Str. 17";"Wilmersdorf";"Sushi";"Asiatisch";NA;NA;52.5998964;13.4313931
"Pho H&D";6;"€";"Friedelstr. 22";"Reuterkiez";"Vietnamesisch";"Asiatisch";NA;NA;52.491249;13.4280236
"Phuoc";10;"€";"Schivelbeiner Str. 26";"Prenzlauer Berg";"Sushi";"Asiatisch";NA;NA;52.551124;13.4054818
"mrhai Life";80;"€€€";"Albrechtstr. 131";"Steglitz";"Asiatisch";NA;NA;NA;52.4570056;13.3220651
"Soup’ n Roll";15;"€";"Torstr. 117";"Mitte";"Vietnamesisch";"Suppe & Eintopf";"Asiatisch";NA;52.529992;13.4022037
"Bistro Katis";5;"€€";"Blissestr. 33";"Wilmersdorf";"Türkisch";"Asiatisch";NA;NA;52.4821637;13.3206328
"AnCom Kitchen";1;NA;"Gneisenaustr. 62";"Kreuzberg";"Asiatisch";NA;NA;NA;52.4901803;13.4034317
"Pho Viet Nam";2;"€";"Samariterstr. 3";"Friedrichshain";"Vietnamesisch";"Asiatisch";NA;NA;52.5153858;13.4649563
"Viet Hoang";1;NA;"Kaiserin-Augusta-Allee 88a";"Charlottenburg";"Vietnamesisch";"Thailändisch";"Asiatisch";NA;52.5255585;13.3089307
"Duc Anh";0;NA;"Niederbarnimstr. 17";"Friedrichshain";"Asiatisch";"Sushi";NA;NA;52.5133493;13.458707
"Mr. Chow";2;"€";"Lindenstr. 34";"Kreuzberg";"Asiatisch";NA;NA;NA;52.4515547;13.5698659
"Asia-Sushi Time";8;"€";"Klausener Platz 14";"Charlottenburg";"Asiatisch";NA;NA;NA;52.5176526;13.2909397
"Xinh City";1;NA;"Gotzkowskystr. 23";"Tiergarten";"Thailändisch";"Vietnamesisch";"Asiatisch";NA;52.5241726;13.3300117
"Asia Imbiss Kladow";1;NA;"Sakrower Landstr. 8";"Spandau";"Asiatisch";NA;NA;NA;52.4530121;13.1418506
"Thien Huong Asia-Bistro";4;"€";"Blissestr. 20a";"Wilmersdorf";"Asiatisch";NA;NA;NA;52.4844409;13.3198827
"Sushi Miyabi";40;"€";"Georgenstr. 195";"Mitte";"Sushi";"Asiatisch";NA;NA;52.5201238;13.3905632
"Bep Viet";1;"€";"Edisonstr.62";"Köpenick";"Vietnamesisch";"Asiatisch";NA;NA;52.4626394;13.5137887
"Pan Asia Kitchen";0;NA;"Schlesische Str. 7";"Kreuzberg";"Wok";"Imbiss";"Asiatisch";NA;52.5000504;13.4434376
"Muckrakers Pizza";15;"€";"Marienstr. 18";"Mitte";"Pizza";NA;NA;NA;52.522313;13.383938
"Zeus Pizzeria";91;"€";"Boxhagener Str. 29";"Friedrichshain";"Pizza";NA;NA;NA;52.5124465;13.4587913
"Pizza con Amore";26;"€";"Turmstr. 82";"Tiergarten";"Pizza";NA;NA;NA;52.526338;13.3373235
"Mastro Pizza";3;NA;"Winterfeldtstr. 72";"Schöneberg";"Pizza";NA;NA;NA;52.4964054;13.3484384
"Vadoli";17;"€€";"Kantstr. 55";"Charlottenburg";"Pizza";NA;NA;NA;52.50684;13.3079684
"Pizza El Fredo";18;"€";"Friedrichstr. 14";"Kreuzberg";"Italienisch";"Pizza";NA;NA;52.50208;13.39149
"Pizza Scheune";32;"€";"Rosa-Luxemburgstr. 49";"Mitte";"Pizza";NA;NA;NA;52.5280443;13.4099983
"B&B Focaccia";18;"€€";"Kuckhoffstr. 1";"Pankow";"Italienisch";"Pizza";NA;NA;52.5836477;13.402577
"Ron Telesky";126;"€";"Dieffenbachstr. 62";"Kreuzberg";"Pizza";NA;NA;NA;52.49337;13.41538
"Da Dante";19;"€";"Hauptstr. 14";"Schöneberg";"Pizza";NA;NA;NA;52.4878983;13.3575402
"Simela";52;"€€";"Kantstr. 146";"Charlottenburg";"Italienisch";"Pizza";"Glutenfrei";NA;52.5055404;13.3235375
"Pizzeria Solo Pizza";42;"€";"Danziger Str. 7";"Prenzlauer Berg";"Pizza";"Italienisch";NA;NA;52.5409928;13.4136947
"Rocca Pizza & Pasta";3;"€";"Gleimstr. 11";"Prenzlauer Berg";"Pizza";"Nahrungsmittel & Getränke";NA;NA;52.5468681;13.4063579
"Zola";47;"€€";"Paul-Lincke-Ufer 39 - 40";"Kreuzberg";"Pizza";NA;NA;NA;52.4961091;13.4223673
"L’antica pizzeria da Michele";1;NA;"Fritz-Reuter-Str. 7";"Schöneberg";"Pizza";NA;NA;NA;52.4802428;13.3474503
"Standard";61;"€€";"Templiner Str. 7";"Prenzlauer Berg";"Pizza";NA;NA;NA;52.5329334;13.408522
"Dolce Pizza";81;"€€";"Belziger Str. 73";"Schöneberg";"Pizza";NA;NA;NA;52.4846822;13.3459325
"Aldemir Pizza";29;"€";"Falckensteinstr. 41";"Kreuzberg";"Pizza";NA;NA;NA;52.4992423;13.4433113
"Pizzafabrik";4;"€€€";"Zingster Str. 14";"Hohenschönhausen";"Pizza";NA;NA;NA;52.5660246;13.5031432
"Simela";11;"€€";"Koppenplatz 1";"Mitte";"Pizza";"Italienisch";"Glutenfrei";NA;52.5275297;13.3981443
"Solo Pizza";54;"€€";"Wilhelmstr. 147";"Spandau";"Pizza";NA;NA;NA;52.4990309;13.3887274
"Da Zia";106;"€€";"Pappelallee 32a";"Prenzlauer Berg";"Pizza";NA;NA;NA;52.5459231;13.4178188
"Teigmeister";21;"€";"Levetzowstraße";"Tiergarten";"Pizza";NA;NA;NA;52.5212536;13.333685
"Zamazingo";13;"€";"Pichelsdorfer Str. 118";"Spandau";"Pizza";NA;NA;NA;52.5253258;13.1973399
"Alte Forno";14;"€";"Badstr. 53";"Tiergarten";"Pizza";NA;NA;NA;52.55194;13.38151
"Oregano";32;"€";"Oranienstr. 19a";"Kreuzberg";"Pizza";NA;NA;NA;52.5006218;13.4221798
"Delizie da Vito";10;NA;"Nonnendammallee 97";"Spandau";"Pizza";"Italienisch";NA;NA;52.5369255;13.2668084
"Pizza Xxl";37;"€";"Frankfurter Allee 42";"Friedrichshain";"Italienisch";"Pizza";NA;NA;52.5147157;13.4629491
"Manhattan Pizza";36;"€€";"Albrechtstr. 114";"Steglitz";"Pizza";"Salat";"Burger";NA;52.4549298;13.3275325
"Constantino";22;"€";"Mariannenstr. 8";"Steglitz";"Italienisch";"Pizza";NA;NA;52.4998338;13.4225382
"Monella";18;"€€";"Weichselstr. 17";"Reuterkiez";"Wirtshaus";"Pizza";"Cocktailbar";NA;52.48576;13.43529
"Pizzaklub";60;"€€";"Katzlerstr. 10";"Schöneberg";"Italienisch";"Pizza";NA;NA;52.491205;13.368509
"Turtle Pizza";1;NA;"Kottbusser Damm 88";"Reuterkiez";"Pizza";NA;NA;NA;52.4928508;13.422613
"Salami Social Club";14;"€";"Frankfurter Allee 43";"Friedrichshain";"Pizza";"Bier Bar";NA;NA;52.5150934;13.4633394
"Pizza Pause";6;"€";"Hermannstr. 220";"Neukölln";"Pizza";NA;NA;NA;52.47931;13.42595
"Da Gelo";14;"€€";"Elsenstr. 115";"Treptow";"Pizza";"Italienisch";NA;NA;52.4920059;13.458766
"Piazza Bra";41;"€€";"Kurfürstendamm 94/95";"Charlottenburg";"Italienisch";"Pizza";NA;NA;52.4987282;13.2994421
"Domino’s";8;"€€";"Schumannstr. 19";"Mitte";"Pizza";NA;NA;NA;52.5237082;13.3799029
"Osteria Marina Blue";5;NA;"Weinbergsweg 8a";"Mitte";"Italienisch";"Pizza";"Weinbar";NA;52.5312566;13.4029526
"Calice d´Oro";4;NA;"Unter den Linden 39";"Mitte";"Pizza";NA;NA;NA;52.5166634;13.3879191
"Pizza Prima";2;"€";"Anzengruberstr. 19";"Neukölln";"Pizza";NA;NA;NA;52.4809649;13.4395342
"Da Meme";12;"€€";"Gotzkowskystr. 24";"Tiergarten";"Pizza";"Italienisch";NA;NA;52.5244728;13.330153
"L’Osteria";14;"€";"Memhardstr. 3";"Mitte";"Pizza";"Italienisch";NA;NA;52.52368;13.41031
"Pizzatrium";3;NA;"Körtestr. 8";"Kreuzberg";"Pizza";NA;NA;NA;52.4913137;13.4112576
"Farina";2;"€";"Karl-Kunger-Str. 10";"Treptow";"Pizza";"Italienisch";NA;NA;52.4917;13.4462401
"Freddy Fresh Pizza";1;NA;"Petersburger Straße 39";"Friedrichshain";"Pizza";NA;NA;NA;52.5229192;13.4506198
"Figl";78;"€€";"Urbanstr. 47";"Kreuzberg";"Pizza";"Bowling & Kegeln";NA;NA;52.4904009;13.4175136
"La Lupa E L’ Orso";14;"€€";"Schönfließer Str. 14";"Prenzlauer Berg";"Italienisch";"Pizza";NA;NA;52.5520921;13.4080523
"Pizza Max";13;"€€";"Wilhelmstr. 23";"Kreuzberg";"Pizza";NA;NA;NA;52.5207413;13.1867999
"Garda Pizza";37;"€";"Crellestr. 48";"Schöneberg";"Pizza";NA;NA;NA;52.4869412;13.3577095
"Cielo Di Berlino";38;"€€";"Monumentenstr. 31";"Schöneberg";"Pizza";"Glutenfrei";NA;NA;52.48829;13.36983
"Prometeo";15;"€€";"Goebenstr. 3";"Schöneberg";"Pizza";"Italienisch";NA;NA;52.49392;13.3621168
"Pizzeria Allegro";7;"€€";"Reinickendorfer Str. 8";"Wedding";"Pizza";NA;NA;NA;52.54136;13.3703699
"Trattoria Piazza Siciliana";10;"€€";"Lindenthaler Allee 46";"Zehlendorf";"Pizza";"Italienisch";NA;NA;52.4304;13.2305
"Pizzeria La Cantina";14;"€";"Torstr. 124";"Mitte";"Pizza";"Italienisch";NA;NA;52.5294617;13.4008872
"Pizza Delizia";50;"€";"Hasenheide 7";"Kreuzberg";"Pizza";NA;NA;NA;52.4871281;13.422655
"Pizzeria Laila";8;"€";"Tempelherrenstr. 2";"Kreuzberg";"Italienisch";"Pizza";NA;NA;52.4947125;13.400871
"La Forneria";29;"€€";"Kantstr. 31";"Charlottenburg";"Italienisch";"Pizza";NA;NA;52.506312;13.3171472
"Pizza Pasta";1;NA;"Alt-Moabit 73A";"Tiergarten";"Pizza";"Italienisch";NA;NA;52.52414;13.33285
"Pizza Planet";1;NA;"Wendenschloßstr. 41";"Köpenick";"Pizza";NA;NA;NA;52.444565;13.5859684
"Pizzeria Alte Forno";4;NA;"Markstr. 1";"Reinickendorf";"Italienisch";"Pizza";NA;NA;52.5638006;13.3639331
"Zio Felix";29;"€€";"Okerstr. 35";"Schillerkiez";"Pizza";"Italienisch";NA;NA;52.4737201;13.4233296
"La Stella Nera";17;"€€";"Leykestr. 18";"Neukölln";"Pizza";"Vegan";"Italienisch";NA;52.4749679;13.4277766
"Lunch Time";8;"€€";"Jägerstr. 34";"Mitte";"Italienisch";"Pizza";NA;NA;52.51421;13.3970852
"Alano";11;"€";"Windscheidstr. 20";"Charlottenburg";"Pizza";NA;NA;NA;52.50526;13.3001299
"Avanti";6;NA;"Stresemannstr. 121";"Kreuzberg";"Pizza";"Italienisch";NA;NA;52.5070892;13.378469
"Pizzeria Ledi";19;"€€";"Weitlingstr. 28";"Lichtenberg";"Italienisch";"Pizza";NA;NA;52.5085507;13.4971342
"Pizza Express";4;"€";"Osloer Str. 83A";"Wedding";"Pizza";NA;NA;NA;52.5564124;13.3731482
"Mami Camilla";36;"€€";"Hufelandstr. 36";"Prenzlauer Berg";"Italienisch";"Pizza";NA;NA;52.53058;13.43446
"Pizzeria Trattoria Castel Montecroce";25;"€€";"Friesenstr. 14";"Kreuzberg";"Pizza";"Italienisch";NA;NA;52.486026;13.3941802
"Pizzawerk";26;"€";"Seelenbinderstr. 112 - 124";"Köpenick";"Pizza";NA;NA;NA;52.45491;13.59179
"Rosso";6;NA;"Helmholtzstr. 24";"Charlottenburg";"Pizza";NA;NA;NA;52.5220873;13.3267584
"Pizzeria LuNa";6;NA;"Gotenstr. 18";"Schöneberg";"Pizza";"Italienisch";NA;NA;52.48114;13.35995
"Charlotte 1";15;"€";"Charlottenstr. 1";"Kreuzberg";"Pizza";NA;NA;NA;52.505454;13.3936
"Cachondeo";5;NA;"Skalitzerstr. 66";"Kreuzberg";"Salat";"Pizza";"Italienisch";NA;52.5002128;13.4391979
"Allermunde";9;"€€";"Frankfurter Allee 17";"Friedrichshain";"Italienisch";"Pizza";NA;NA;52.5159888;13.458032
"Pizza Pasta";8;"€";"Wilmersdorfer Str. 32";"Charlottenburg";"Italienisch";"Pizza";NA;NA;52.5126674;13.3047779
"La Rosa";4;"€";"Hauptstr. 26";"Schöneberg";"Pizza";"Italienisch";NA;NA;52.4857818;13.3548744
"Happy Pizza Time";1;"€";"Thiemannstr. 1";"Neukölln";"Pizza";NA;NA;NA;52.4797091;13.4528508
"Fellini Pizza";11;"€€";"Langhansstr. 152";"Weißensee";"Pizza";"Italienisch";NA;NA;52.5486696;13.4499853
"Taormina II";14;"€€";"Hauptstr. 112";"Schöneberg";"Italienisch";"Pizza";NA;NA;52.4815016;13.3482676
"Pizza Planet";1;NA;"Hönower Str. 214";"Hellersdorf";"Pizza";NA;NA;NA;52.5237617;13.6212501
"Pizza Pasta da Matteo";1;"€";"Spandauer Damm 170";"Charlottenburg";"Pizza";"Italienisch";NA;NA;52.5205904;13.267402
"Sole d´Oro";9;"€€";"Wilmersdorfer Str. 153";"Charlottenburg";"Pizza";"Italienisch";NA;NA;52.5149931;13.3049183
"PizzaLiebe";10;"€";"Lankwitzer Str. 26";"Steglitz";"Italienisch";"Pizza";NA;NA;52.4288533;13.3279542
"La Piadina";1;NA;"Mariannenplatz 23";"Kreuzberg";"Italienisch";"Pizza";NA;NA;52.5041963;13.4266277
"Pizza Nuno";3;"€";"Blücherstr. 66A";"Kreuzberg";"Pizza";NA;NA;NA;52.495841;13.3970384
"Pazzi X Pizza";18;"€";"Herrfurthstr. 8";"Schillerkiez";"Pizza";NA;NA;NA;52.4773697;13.4233144
"Trattoria Fidelia";10;"€";"Lüneburgerstr. 390";"Tiergarten";"Italienisch";"Pizza";NA;NA;52.5195645;13.3557979
"Aceto Lokanta";4;"€";"Kastanienallee 4";"Prenzlauer Berg";"Italienisch";"Pizza";NA;NA;52.5403891;13.4110258
"Pizza Planet";1;NA;"Hellersdorfer Weg 36";"Marzahn";"Pizza";NA;NA;NA;52.56384;13.5514099
"Pizzeria da Luma";6;"€";"Birkenstr. 55";"Tiergarten";"Pizza";"Italienisch";NA;NA;52.5312676;13.344482
"Pizza Italia";10;"€";"Bergmannstr. 112";"Bergmannkiez";"Pizza";"Fast Food";"Italienisch";NA;52.4902266;13.3873411
"La Focacceria";78;"€";"Fehrbelliner Str. 24";"Mitte";"Italienisch";"Pizza";NA;NA;52.5337029;13.4034923
"Pizza Max";12;NA;"Westfälische Str. 66";"Wilmersdorf";"Pizza";NA;NA;NA;52.4952339;13.2982698
"Futura";5;NA;"Bänschstr. 91";"Friedrichshain";"Pizza";NA;NA;NA;52.5173489;13.4713252
"Pizza Luna";16;"€€";"Martin-Luther-Str. 21";"Schöneberg";"Italienisch";"Pizza";NA;NA;52.4975018;13.3463808
"Pizza Pimps";13;"€€";"Marienburger Str. 9";"Prenzlauer Berg";"Pizza";NA;NA;NA;52.5345758;13.4244752
"Piazza Rossa";79;"€€";"Rathausstr. 13";"Mitte";"Italienisch";"Pizza";NA;NA;52.5190179;13.4092602
"Stefano - Trattoria Pizzeria";20;"€";"Lichtenrader Damm 46";"Tempelhof";"Italienisch";"Pizza";NA;NA;52.4096108;13.4034802
"Call a Pizza";12;"€€";"Damerowstr. 60";"Pankow";"Pizza";NA;NA;NA;52.572613;13.4176862
"Domino’s";1;NA;"Siegfriedstr. 201";"Lichtenberg";"Pizza";NA;NA;NA;52.51513;13.49819
"Pizza Bleibtreu";5;"€€€";"Bleibtreustr. 41";"Charlottenburg";"Pizza";NA;NA;NA;52.503071;13.3198672
"Ammazza che Pizza";3;NA;"Maybachufer 21";"Reuterkiez";"Pizza";"Italienisch";NA;NA;52.49369;13.42704
"Ristorante Michelangelo";33;"€€";"Breitenbachplatz 4";"Wilmersdorf";"Italienisch";"Pizza";NA;NA;52.46794;13.30909
"Pizza Bulls";15;"€€";"Hohenstaufenstr. 40";"Schöneberg";"Pizza";NA;NA;NA;52.49431;13.33926
"Hallo Pizza!";4;"€€€";"Hönower Str.171";"Hellersdorf";"Pizza";NA;NA;NA;52.5198767;13.6167866
"Ali Baba";118;"€";"Bleibtreustr. 45";"Charlottenburg";"Pizza";"Italienisch";NA;NA;52.5040427;13.3201046
"Pizza Miranda";1;"€";"Müllerstr. 142";"Wedding";"Pizza";NA;NA;NA;52.5487575;13.3544119
"Maria";19;"€€";"Bundesallee 181";"Wilmersdorf";"Deutsch";"Italienisch";"Pizza";NA;52.4878667;13.3318352
"Trattoria Acquolina";12;"€€";"Hildegardstr. 17a";"Wilmersdorf";"Italienisch";"Pizza";NA;NA;52.48204;13.32092
"Marzano";12;"€€";"Mehrower Allee 18";"Marzahn";"Pizza";"Italienisch";NA;NA;52.5558036;13.5588525
"Due Fratelli Trattoria Pizzeria";25;"€€";"Chausseestr. 131";"Mitte";"Italienisch";"Pizza";NA;NA;52.5272479;13.3863671
"Bistro Maria";6;"€";"Bundesallee 192";"Wilmersdorf";"Italienisch";"Deutsch";"Pizza";NA;52.4912354;13.3312446
"la pausa";23;"€€";"Nonnendammallee 90";"Spandau";"Pizza";"Fast Food";NA;NA;52.5369306;13.2708858
"Pizzeria Sicilia";12;"€";"Graefestr. 27";"Kreuzberg";"Italienisch";"Pizza";NA;NA;52.4913688;13.416094
"Trattoria Taormina";7;"€€";"Cicerostr. 37";"Wilmersdorf";"Pizza";NA;NA;NA;52.4915971;13.3013144
"Style ur Pizza";2;"€€";"Gleimstr. 11";"Prenzlauer Berg";"Pizza";NA;NA;NA;52.5468681;13.4063579
"Pizzare";8;NA;"Eberswalder Str. 21";"Prenzlauer Berg";"Pizza";NA;NA;NA;52.540937;13.4106912
"Escendo";53;"€";"Kopernikusstr. 17";"Friedrichshain";"Pizza";NA;NA;NA;52.5097347;13.4558637
"Cucciolo";10;"€";"Teltower Damm 13";"Zehlendorf";"Pizza";NA;NA;NA;52.4336138;13.2604779
"Piccolo Pizzeria 88";3;"€";"Grunewaldstr. 88";"Schöneberg";"Pizza";NA;NA;NA;52.4898469;13.3564525
"Giotto";35;"€€";"Friedrichstr. 132";"Mitte";"Italienisch";"Pizza";NA;NA;52.5237223;13.3873202
"W Pizza";6;NA;"Fuldastr. 31";"Reuterkiez";"Pizza";"Italienisch";NA;NA;52.4868266;13.4395025
"Da Sergio la Fortuna";4;"€";"Goethestr. 17";"Charlottenburg";"Coffee Shop";"Italienisch";"Pizza";NA;52.5090754;13.3152468
"Call a Pizza";12;"€€";"Martin-Luther-Str. 39";"Schöneberg";"Pizza";NA;NA;NA;52.4938837;13.3459186
"Aceto Lokanta";4;"€";"Boxhagener Str. 74";"Friedrichshain";"Italienisch";"Fast Food";"Pizza";NA;52.5071298;13.4687052
"Yellow Pizza";16;"€";"Bizetstr. 125";"Weißensee";"Italienisch";"Pizza";NA;NA;52.55008;13.46323
"Verona";14;"€€";"Sandstr. 60";"Spandau";"Pizza";"Italienisch";NA;NA;52.5181527;13.1698525
"Pizza Slice";4;"€€";"Großbeerenstr. 77";"Kreuzberg";"Pizza";NA;NA;NA;52.49648;13.38472
"La Grande";9;"€";"Tempelhofer Damm 148";"Tempelhof";"Pizza";NA;NA;NA;52.4652062;13.3853025
"Piazza Venezia";10;"€€€";"Zimmermannstr. 7";"Steglitz";"Italienisch";"Pizza";NA;NA;52.4598988;13.3219945
"Call a Pizza";16;"€€";"Konrad-Wolf-Str. 114";"Hohenschönhausen";"Pizza";NA;NA;NA;52.5441437;13.4930443
"Pizza Europa";6;"€";"Alt-Buckow 1";"Neukölln";"Pizza";NA;NA;NA;52.4233836;13.4365533
"La Mia";5;"€";"Britzer Damm 78";"Britz";"Pizza";"Italienisch";NA;NA;52.4557788;13.4369915
"Tutti Gusti";16;"€€";"Heerstr. 11";"Charlottenburg";"Pizza";"Italienisch";NA;NA;52.5088083;13.2679019
